FailDialog (0.00, 0.00) (1.00, 1.00) (0.50, 0.50) (0.00, 0.00) (0.00, 0.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
LuckDrawDialog (0.00, 0.00) (1.00, 1.00) (0.50, 0.50) (0.00, 0.00) (0.00, 0.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
LuckyDrawRewardDialog (0.00, 0.00) (1.00, 1.00) (0.50, 0.50) (0.00, 0.00) (0.00, 0.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
bgNode2000 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, 0.00) (800.00, 900.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
bgNodealiveAndDouble (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, 0.00) (800.00, 800.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
ScoreDialog (0.00, 0.00) (1.00, 1.00) (0.50, 0.50) (0.00, 0.00) (0.00, 0.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btnClose (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, -760.00) (470.00, 122.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btn_close_gray (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (273.00, -168.00) (65.00, 65.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
restartLabel (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, 13.32) (400.00, 100.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btn1 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, -443.00) (470.00, 122.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btnSure (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, -268.00) (470.00, 122.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btnClose (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, -286.50) (470.00, 122.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btnClose (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (274.00, 272.50) (70.00, 70.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
btn (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (0.00, -211.00) (470.00, 122.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
start0 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (-231.50, 0.00) (104.00, 100.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
start1 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (-112.00, 0.00) (104.00, 100.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
start2 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (7.50, 0.00) (104.00, 100.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
start3 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (127.00, 0.00) (104.00, 100.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
start4 (0.50, 0.50) (0.50, 0.50) (0.50, 0.50) (246.50, 0.00) (104.00, 100.00) (1.00, 1.00, 1.00) (0.00000, 0.00000, 0.00000, 1.00000)
