address,size,names,assemblyFile,fileByteOffset
0xaba060,56,_Z18cocos_jni_env_initP7_JNIEnv,text.asm,1266
0xaba098,112,_Z22cocos_android_app_initP7_JNIEnvii,text.asm,2091
0xaba108,196,_ZN11AppDelegateC1Eii | _ZN11AppDelegateC2Eii,text.asm,3654
0xaba1cc,4,_ZN11AppDelegateD1Ev | _ZN11AppDelegateD2Ev,text.asm,6408
0xaba1d0,36,_ZN11AppDelegateD0Ev,text.asm,6519
0xaba1f4,648,_ZN11AppDelegate29applicationDidFinishLaunchingEv,text.asm,7058
0xaba47c,4,_ZN11AppDelegate7onPauseEv,text.asm,15947
0xaba480,4,_ZN11AppDelegate8onResumeEv,text.asm,16041
0xaba578,792,_Z24jsb_register_all_modulesv,text.asm,19354
0xabaa3c,5360,_Z10cocos_initP7_JNIEnv,text.asm,35855
0xabbf2c,156,_ZN7_JNIEnv16CallObjectMethodEP8_jobjectP10_jmethodIDz,text.asm,109135
0xabc328,156,_ZN7_JNIEnv22CallStaticObjectMethodEP7_jclassP10_jmethodIDz,text.asm,122930
0xabc3c4,100,_ZN12StaticBufferILm21ELc75ELi3EE3getERK15EncryptedStringILm21ELc75EE,text.asm,125262
0xabc534,100,_ZN12StaticBufferILm21ELc79ELi7EE3getERK15EncryptedStringILm21ELc79EE,text.asm,130386
0xabc5a8,100,_ZN12StaticBufferILm21ELc83ELi11EE3getERK15EncryptedStringILm21ELc83EE,text.asm,132100
0xabc60c,156,_ZN7_JNIEnv9NewObjectEP7_jclassP10_jmethodIDz,text.asm,133593
0xabc6a8,156,_ZN7_JNIEnv20CallStaticVoidMethodEP7_jclassP10_jmethodIDz,text.asm,135910
0xabc744,84,_ZN12StaticBufferILm18ELc85ELi13EE3getERK15EncryptedStringILm18ELc85EE,text.asm,138240
0xabcba8,432,_ZNSt6__ndk16vectorINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEENS4_IS6_EEE21__push_back_slow_pathIRKS6_EEPS6_OT_,text.asm,153848
0xabce58,76,_ZN12StaticBufferILm24ELc91ELi19EE3getERK15EncryptedStringILm24ELc91EE,text.asm,163548
0xabcea4,748,_ZNSt6__ndk16vectorIhNS_9allocatorIhEEE18__insert_with_sizeB8ne190000INS_11__wrap_iterIPhEES7_EES7_NS5_IPKhEET_T0_l,text.asm,164693
0xabd190,216,_ZN7cocos2d6Device6getDPIEv,text.asm,174982
0xabd268,444,_ZN7cocos2d9JniHelper19callStaticIntMethodIJEEEiRKNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEESA_DpT_,text.asm,178062
0xabd424,300,_ZN7cocos2d6Device23setAccelerometerEnabledEb,text.asm,184366
0xabd550,428,_ZN7cocos2d9JniHelper20callStaticVoidMethodIJEEEvRKNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEESA_DpT_,text.asm,188624
0xabd6fc,228,_ZN7cocos2d6Device24setAccelerometerIntervalEf,text.asm,194719
0xabd7e0,452,_ZN7cocos2d9JniHelper20callStaticVoidMethodIJfEEEvRKNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEESA_DpT_,text.asm,197953
0xabd9a4,236,_ZN7cocos2d6Device20getDeviceMotionValueEv,text.asm,204381
0xabda90,588,_ZN7cocos2d9JniHelper26callStaticFloatArrayMethodIJEEEPfRKNSt6__ndk112basic_stringIcNS3_11char_traitsIcEENS3_9allocatorIcEEEESB_DpT_,text.asm,207756
0xabdcdc,200,_ZN7cocos2d6Device17getDeviceRotationEv,text.asm,215980
0xabdda4,204,_ZN7cocos2d6Device14getDeviceModelEv,text.asm,218822
0xabde70,488,_ZN7cocos2d9JniHelper22callStaticStringMethodIJEEENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEERKS8_SA_DpT_,text.asm,221722
0xabe058,204,_ZN7cocos2d6Device15setKeepScreenOnEb,text.asm,228703
