type=1 | RecoveredMain/GameScene/GameScene/up/money/moneyIcon
type=1 | RecoveredMain/GameScene/GameScene/up/plusFlyMoney/moneyIcon
type=3 | RecoveredMain/GameScene/GameScene/RewardDialog/content/bgNodealiveAndDouble/moneyIcon
type=3 | RecoveredMain/GameScene/GameScene/RewardDialog/content/bgNodeGetReward/moneyIcon
type=3 | RecoveredMain/GameScene/GameScene/RewardDialog/content/bgNodeGuide/moneyIcon
type=1 | RecoveredMain/GameScene/GameScene/RewardDialog/money
type=1 | RecoveredMain/GameScene/GameScene/GuideDialog/step3/content/money/money1
type=1 | RecoveredMain/GameScene/GameScene/LuckyDrawRewardDialog/content/moneyNode
type=2 | RecoveredMain/GameScene/GameScene/GameRealWDTXTips/content/bg/coinspr
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode1/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode2/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode3/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode4/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode5/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode6/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode7/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode7/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckyDrawRewardDialog/content/moneyIcon
type=1 | RecoveredMain/GameScene/GameScene/up/money/moneyIcon
type=1 | RecoveredMain/GameScene/GameScene/up/plusFlyMoney/moneyIcon
type=3 | RecoveredMain/GameScene/GameScene/RewardDialog/content/bgNodealiveAndDouble/moneyIcon
type=3 | RecoveredMain/GameScene/GameScene/RewardDialog/content/bgNodeGetReward/moneyIcon
type=3 | RecoveredMain/GameScene/GameScene/RewardDialog/content/bgNodeGuide/moneyIcon
type=1 | RecoveredMain/GameScene/GameScene/RewardDialog/money
type=1 | RecoveredMain/GameScene/GameScene/GuideDialog/step3/content/money/money1
type=1 | RecoveredMain/GameScene/GameScene/LuckyDrawRewardDialog/content/moneyNode
type=2 | RecoveredMain/GameScene/GameScene/GameRealWDTXTips/content/bg/coinspr
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode1/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode2/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode3/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode4/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode5/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode6/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode7/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckDrawDialog/content/rectLayout/rectNode7/money
type=3 (1/3 dynamic) | RecoveredMain/GameScene/GameScene/LuckyDrawRewardDialog/content/moneyIcon
